model_name,seed,epoch,loss
BBO-RVFL,10,1,0.9689944805094541
BBO-RVFL,10,2,0.9689944805094541
BBO-RVFL,10,3,0.9689944805094541
BBO-RVFL,10,4,0.9689944805094541
BBO-RVFL,10,5,0.9689944805094541
BBO-RVFL,10,6,0.9689944805094541
BBO-RVFL,10,7,0.9689944805094541
BBO-RVFL,10,8,0.9689944805094541
BBO-RVFL,10,9,0.9689944805094541
BBO-RVFL,10,10,0.9689944805094541
BBO-RVFL,10,11,0.9689944805094541
BBO-RVFL,10,12,0.9689944805094541
BBO-RVFL,10,13,0.9689944805094541
BBO-RVFL,10,14,0.9689944805094541
BBO-RVFL,10,15,0.9689944805094541
BBO-RVFL,10,16,0.9689944805094541
BBO-RVFL,10,17,0.9689944805094541
BBO-RVFL,10,18,0.9689944805094541
BBO-RVFL,10,19,0.9689944805094541
BBO-RVFL,10,20,0.9689944805094541
BBO-RVFL,10,21,0.9689944805094541
BBO-RVFL,10,22,0.9689944805094541
BBO-RVFL,10,23,0.9689944805094541
BBO-RVFL,10,24,0.9689944805094541
BBO-RVFL,10,25,0.9689944805094541
BBO-RVFL,10,26,0.9689944805094541
BBO-RVFL,10,27,0.9689944805094541
BBO-RVFL,10,28,0.9689944805094541
BBO-RVFL,10,29,0.9689944805094541
BBO-RVFL,10,30,0.9689944805094541
BBO-RVFL,10,31,0.9689944805094541
BBO-RVFL,10,32,0.9689944805094541
BBO-RVFL,10,33,0.9689944805094541
BBO-RVFL,10,34,0.9689944805094541
BBO-RVFL,10,35,0.9689944805094541
BBO-RVFL,10,36,0.9689944805094541
BBO-RVFL,10,37,0.9689944805094541
BBO-RVFL,10,38,0.9689944805094541
BBO-RVFL,10,39,0.9689944805094541
BBO-RVFL,10,40,0.9689944805094541
BBO-RVFL,10,41,0.9689944805094541
BBO-RVFL,10,42,0.9689944805094541
BBO-RVFL,10,43,0.9689944805094541
BBO-RVFL,10,44,0.9689944805094541
BBO-RVFL,10,45,0.9689944805094541
BBO-RVFL,10,46,0.9689944805094541
BBO-RVFL,10,47,0.9689944805094541
BBO-RVFL,10,48,0.9689944805094541
BBO-RVFL,10,49,0.9689944805094541
BBO-RVFL,10,50,0.9689944805094541
BBO-RVFL,10,51,0.9689944805094541
BBO-RVFL,10,52,0.9689944805094541
BBO-RVFL,10,53,0.9689944805094541
BBO-RVFL,10,54,0.9689944805094541
BBO-RVFL,10,55,0.9689944805094541
BBO-RVFL,10,56,0.9689944805094541
BBO-RVFL,10,57,0.9689944805094541
BBO-RVFL,10,58,0.9689944805094541
BBO-RVFL,10,59,0.9689944805094541
BBO-RVFL,10,60,0.9689944805094541
BBO-RVFL,10,61,0.9689944805094541
BBO-RVFL,10,62,0.9689944805094541
BBO-RVFL,10,63,0.9689944805094541
BBO-RVFL,10,64,0.9689944805094541
BBO-RVFL,10,65,0.9689944805094541
BBO-RVFL,10,66,0.9689944805094541
BBO-RVFL,10,67,0.9689944805094541
BBO-RVFL,10,68,0.9689944805094541
BBO-RVFL,10,69,0.9689944805094541
BBO-RVFL,10,70,0.9689944805094541
BBO-RVFL,10,71,0.9689944805094541
BBO-RVFL,10,72,0.9689944805094541
BBO-RVFL,10,73,0.9689944805094541
BBO-RVFL,10,74,0.9689944805094541
BBO-RVFL,10,75,0.9689944805094541
BBO-RVFL,10,76,0.9689944805094541
BBO-RVFL,10,77,0.9689944805094541
BBO-RVFL,10,78,0.9689944805094541
BBO-RVFL,10,79,0.9689944805094541
BBO-RVFL,10,80,0.9689944805094541
BBO-RVFL,10,81,0.9689944805094541
BBO-RVFL,10,82,0.9689944805094541
BBO-RVFL,10,83,0.9689944805094541
BBO-RVFL,10,84,0.9689944805094541
